Price,Bedrooms,Bathrooms,Sqft,Address,ZIP Code
500000,5,2,4200,"8910 N Syracuse StPortland, OR 97203",97203
1599995,7,6,4591,"15661 NW Gooderham StPortland, OR 97229",97229
549000,4,25,1452,"2601 SE 141st StPortland, OR 97236",97236
1050000,4,3,2895,"2505 NE 45th AvePortland, OR 97213",97213
1025000,4,3,3506,"1528 SW Westwood CtPortland, OR 97239",97239
1299000,5,35,5139,"8224 NW Skyline BlvdPortland, OR 97229",97229
1050000,4,3,3849,"7727 SW Red Hawk CtPortland, OR 97224",97224
925000,4,25,2468,"14995 NW Vance DrPortland, OR 97229",97229
875000,4,25,3289,"14306 SW Mistletoe DrPortland, OR 97223",97223
749900,5,25,2799,"12905 SW Watkins AvePortland, OR 97223",97223
549900,3,15,1311,"9885 SW Ardenwood StPortland, OR 97225",97225
745000,3,2,2052,"868 NE 68th AvePortland, OR 97213",97213
465000,4,2,2323,"8501 NE Going StPortland, OR 97220",97220
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
