Price,Bedrooms,Bathrooms,Sqft,Address,ZIP Code
1599995.0,7.0,6.0,4591.0,"15661 NW Gooderham St, Portland, OR 97229",97229.0
549000.0,4.0,2.5,1452.0,"2601 SE 141st St, Portland, OR 97236",97236.0
1050000.0,4.0,3.0,2895.0,"2505 NE 45th Ave, Portland, OR 97213",97213.0
1025000.0,4.0,3.0,3506.0,"1528 SW Westwood Ct, Portland, OR 97239",97239.0
510000.0,3.0,2.5,2355.0,"8644 NE Dyer St, Portland, OR 97220",97220.0
1299000.0,5.0,3.5,5139.0,"8224 NW Skyline Blvd, Portland, OR 97229",97229.0
925000.0,4.0,2.5,2468.0,"14995 NW Vance Dr, Portland, OR 97229",97229.0
875000.0,4.0,2.5,3289.0,"14306 SW Mistletoe Dr, Portland, OR 97223",97223.0
749900.0,5.0,2.5,2799.0,"12905 SW Watkins Ave, Portland, OR 97223",97223.0
745000.0,3.0,2.0,2052.0,"868 NE 68th Ave, Portland, OR 97213",97213.0
549900.0,3.0,1.5,1311.0,"9885 SW Ardenwood St, Portland, OR 97225",97225.0
465000.0,4.0,2.0,2323.0,"8501 NE Going St, Portland, OR 97220",97220.0
689689.0,4.0,2.5,1930.0,"18980 NW Astoria Dr, Portland, OR 97229",97229.0
599900.0,6.0,3.0,2688.0,"15024 NE Davis Ct, Portland, OR 97230",97230.0
1050000.0,4.0,3.0,3849.0,"7727 SW Red Hawk Ct, Portland, OR 97224",97224.0
495000.0,2.0,2.0,1606.0,"15535 NE Summerplace Dr, Portland, OR 97230",97230.0
430000.0,4.0,2.5,1660.0,"7118 SE 81st Pl, Portland, OR 97206",97206.0
368000.0,3.0,1.0,1296.0,"11980 SW Corby Dr, Portland, OR 97225",97225.0
744900.0,4.0,3.0,2228.0,"3936 SE Cooper St, Portland, OR 97202",97202.0
430000.0,4.0,2.5,1660.0,"7122 SE 81st Pl, Portland, OR 97206",97206.0
749990.0,4.0,3.5,2612.0,"16956 NW Madrone St, Portland, OR 97229",97229.0
325000.0,3.0,1.0,1785.0,"713 NE Sumner St, Portland, OR 97211",97211.0
949000.0,3.0,2.5,2763.0,"11603 SW Vacuna Ct, Portland, OR 97219",97219.0
1090000.0,3.0,2.0,2409.0,"2309 SW 1st Ave Apt 1742, Portland, OR 97201",97201.0
595000.0,3.0,2.0,1876.0,"2211 SW 1st Ave Unit 1503, Portland, OR 97201",97201.0
499000.0,2.0,1.0,1219.0,"6026 SE Harold St, Portland, OR 97206",97206.0
449999.0,2.0,1.0,1446.0,"4930 SW 31st Dr, Portland, OR 97239",97239.0
309900.0,3.0,1.0,1123.0,"7640 SE Harney St, Portland, OR 97206",97206.0
497000.0,4.0,2.5,1843.0,"11405 SE Clinton Ct, Portland, OR 97266",97266.0
470000.0,3.0,3.0,1669.0,"10121 NW Jack Ln Unit 86, Portland, OR 97229",97229.0
499000.0,1.0,1.0,1033.0,"416 NW 13th Ave Apt 205, Portland, OR 97209",97209.0
719000.0,2.0,2.0,1371.0,"1830 NW Riverscape St Apt 107, Portland, OR 97209",97209.0
259000.0,2.0,1.0,8888.0,"1025 SW Bertha Blvd Apt 1, Portland, OR 97219",97219.0
329000.0,3.0,2.5,1286.0,"10545 NE Fremont St Apt 15, Portland, OR 97220",97220.0
459000.0,3.0,2.0,1510.0,"3333 SE Waverleigh Blvd, Portland, OR 97202",97202.0
248500.0,1.0,1.0,7117.0,"3723 SE 42nd Ave Apt D, Portland, OR 97206",97206.0
1249900.0,5.0,3.0,3082.0,"4718 SW Pendleton St Lot 6, Portland, OR 97221",97221.0
978850.0,5.0,3.0,2955.0,"17311 NW Loomis Ln, Portland, OR 97229",97229.0
685000.0,4.0,3.0,3027.0,"2911 SW Plum Ct, Portland, OR 97219",97219.0
475000.0,2.0,2.0,1512.0,"15775 SW Highland Ct, Portland, OR 97224",97224.0
479990.0,3.0,3.0,1406.0,"15139 NW Ethel Ln, Portland, OR 97229",97229.0
379900.0,2.0,2.0,1243.0,"1209 SW 6th Ave Unit 203, Portland, OR 97204",97204.0
1024522.0,4.0,3.5,3287.0,"17371 NW Loomis Ln, Portland, OR 97229",97229.0
1439600.0,6.0,4.0,4375.0,"15613 NW Gooderham St, Portland, OR 97229",97229.0
659990.0,4.0,2.5,1651.0,"7836 NW Dorthea Ter, Portland, OR 97229",97229.0
976115.0,5.0,3.5,2712.0,"15885 NW Raywood Ln, Portland, OR 97229",97229.0
1578995.0,6.0,5.5,4405.0,"15685 NW Gooderham St, Portland, OR 97229",97229.0
489990.0,3.0,3.0,1406.0,"15131 NW Ethel Ln, Portland, OR 97229",97229.0
799900.0,4.0,3.0,2598.0,"9205 NE Thompson St, Portland, OR 97220",97220.0
501990.0,2.0,2.5,1432.0,"15102 NW Ethel Ln, Portland, OR 97229",97229.0
999990.0,5.0,3.0,2955.0,"17434 NW Loomis Ln, Portland, OR 97229",97229.0
825990.0,4.0,2.5,2313.0,"7876 NW Eleanor Ave, Portland, OR 97229",97229.0
1019990.0,5.0,3.0,2955.0,"17470 NW Loomis Ln, Portland, OR 97229",97229.0
768990.0,4.0,2.5,2300.0,"7895 NW Eleanor Ave, Portland, OR 97229",97229.0
1562995.0,6.0,5.0,4405.0,"15697 NW Gooderham St, Portland, OR 97229",97229.0
759990.0,4.0,2.5,2300.0,"7887 NW Eleanor Ave, Portland, OR 97229",97229.0
750000.0,3.0,2.0,2986.0,"12730 SW Watkins Ave, Portland, OR 97223",97223.0
5500000.0,6.0,5.5,9831.0,"1816 SW Hawthorne Ter, Portland, OR 97201",97201.0
946990.0,5.0,3.0,2980.0,"14827 NW Minda St, Portland, OR 97229",97229.0
879995.0,4.0,3.5,2620.0,"16144 NW Holman Way, Portland, OR 97229",97229.0
960990.0,5.0,3.0,2980.0,"14845 NW Minda St, Portland, OR 97229",97229.0
512990.0,3.0,3.0,1406.0,"15109 NW Orchid St, Portland, OR 97229",97229.0
946990.0,5.0,3.0,2980.0,"14813 NW Minda St, Portland, OR 97229",97229.0
545990.0,3.0,3.0,1632.0,"15093 NW Rosina Ln, Portland, OR 97229",97229.0
899995.0,4.0,3.5,2620.0,"15870 NW Holman Way, Portland, OR 97229",97229.0
1059995.0,4.0,2.5,2936.0,"16298 NW Clover Ln, Portland, OR 97229",97229.0
575000.0,4.0,2.0,2230.0,"7641 SE 109th Ave, Portland, OR 97266",97266.0
962365.0,4.0,3.5,2724.0,"16156 NW Holman Way, Portland, OR 97229",97229.0
512990.0,3.0,3.0,1406.0,"7125 NW Bountiful Ter, Portland, OR 97229",97229.0
499990.0,2.0,2.5,1432.0,"15068 NW Ethel Ln, Portland, OR 97229",97229.0
965205.0,4.0,3.5,2777.0,"16132 NW Holman Way, Portland, OR 97229",97229.0
