Price,Bedrooms,Bathrooms,Sqft,Address,ZIP Code
1599995,7,6,4591,"15661 NW Gooderham StPortland, OR 97229",97229
549000,4,25,1452,"2601 SE 141st StPortland, OR 97236",97236
1050000,4,3,2895,"2505 NE 45th AvePortland, OR 97213",97213
1025000,4,3,3506,"1528 SW Westwood CtPortland, OR 97239",97239
510000,3,25,2355,"8644 NE Dyer StPortland, OR 97220",97220
1299000,5,35,5139,"8224 NW Skyline BlvdPortland, OR 97229",97229
925000,4,25,2468,"14995 NW Vance DrPortland, OR 97229",97229
875000,4,25,3289,"14306 SW Mistletoe DrPortland, OR 97223",97223
749900,5,25,2799,"12905 SW Watkins AvePortland, OR 97223",97223
745000,3,2,2052,"868 NE 68th AvePortland, OR 97213",97213
549900,3,15,1311,"9885 SW Ardenwood StPortland, OR 97225",97225
465000,4,2,2323,"8501 NE Going StPortland, OR 97220",97220
689689,4,25,1930,"18980 NW Astoria DrPortland, OR 97229",97229
599900,6,3,2688,"15024 NE Davis CtPortland, OR 97230",97230
1050000,4,3,3849,"7727 SW Red Hawk CtPortland, OR 97224",97224
495000,2,2,1606,"15535 NE Summerplace DrPortland, OR 97230",97230
430000,4,25,1660,"7118 SE 81st PlPortland, OR 97206",97206
368000,3,1,1296,"11980 SW Corby DrPortland, OR 97225",97225
744900,4,3,2228,"3936 SE Cooper StPortland, OR 97202",97202
430000,4,25,1660,"7122 SE 81st PlPortland, OR 97206",97206
749990,4,35,2612,"16956 NW Madrone StPortland, OR 97229",97229
325000,3,1,1785,"713 NE Sumner StPortland, OR 97211",97211
949000,3,25,2763,"11603 SW Vacuna CtPortland, OR 97219",97219
1090000,3,2,2409,"2309 SW 1st Ave Apt 1742Portland, OR 97201",97201
595000,3,2,1876,"2211 SW 1st Ave Unit 1503Portland, OR 97201",97201
499000,2,1,1219,"6026 SE Harold StPortland, OR 97206",97206
449999,2,1,1446,"4930 SW 31st DrPortland, OR 97239",97239
309900,3,1,1123,"7640 SE Harney StPortland, OR 97206",97206
497000,4,25,1843,"11405 SE Clinton CtPortland, OR 97266",97266
470000,3,3,1669,"10121 NW Jack Ln Unit 86Portland, OR 97229",97229
175000,,1,4004,"11820 N Jantzen AvePortland, OR 97217",97217
499000,1,1,1033,"416 NW 13th Ave Apt 205Portland, OR 97209",97209
719000,2,2,1371,"1830 NW Riverscape St Apt 107Portland, OR 97209",97209
259000,2,1,8888,"1025 SW Bertha Blvd Apt 1Portland, OR 97219",97219
329000,3,25,1286,"10545 NE Fremont St Apt 15Portland, OR 97220",97220
459000,3,2,1510,"3333 SE Waverleigh BlvdPortland, OR 97202",97202
248500,1,1,7117,"3723 SE 42nd Ave Apt DPortland, OR 97206",97206
1249900,5,3,3082,"4718 SW Pendleton St Lot 6Portland, OR 97221",97221
650000,,,,"4915 NE 60th AvePortland, OR 97218",97218
550000,,,,"4423 SE Hawthorne BlvdPortland, OR 97215",97215
550000,,,,"10570 NW Cornell RdPortland, OR 97229",97229
978850,5,3,2955,"17311 NW Loomis LnPortland, OR 97229",97229
685000,4,3,3027,"2911 SW Plum CtPortland, OR 97219",97219
475000,2,2,1512,"15775 SW Highland CtPortland, OR 97224",97224
479990,3,3,1406,"15139 NW Ethel LnPortland, OR 97229",97229
379900,2,2,1243,"1209 SW 6th Ave Unit 203Portland, OR 97204",97204
1024522,4,35,3287,"17371 NW Loomis LnPortland, OR 97229",97229
1439600,6,4,4375,"15613 NW Gooderham StPortland, OR 97229",97229
659990,4,25,1651,"7836 NW Dorthea TerPortland, OR 97229",97229
976115,5,35,2712,"15885 NW Raywood LnPortland, OR 97229",97229
1578995,6,55,4405,"15685 NW Gooderham StPortland, OR 97229",97229
489990,3,3,1406,"15131 NW Ethel LnPortland, OR 97229",97229
799900,4,3,2598,"9205 NE Thompson StPortland, OR 97220",97220
501990,2,25,1432,"15102 NW Ethel LnPortland, OR 97229",97229
999990,5,3,2955,"17434 NW Loomis LnPortland, OR 97229",97229
825990,4,25,2313,"7876 NW Eleanor AvePortland, OR 97229",97229
1019990,5,3,2955,"17470 NW Loomis LnPortland, OR 97229",97229
768990,4,25,2300,"7895 NW Eleanor AvePortland, OR 97229",97229
1562995,6,5,4405,"15697 NW Gooderham StPortland, OR 97229",97229
759990,4,25,2300,"7887 NW Eleanor AvePortland, OR 97229",97229
750000,3,2,2986,"12730 SW Watkins AvePortland, OR 97223",97223
5500000,6,55,9831,"1816 SW Hawthorne TerPortland, OR 97201",97201
946990,5,3,2980,"14827 NW Minda StPortland, OR 97229",97229
879995,4,35,2620,"16144 NW Holman WayPortland, OR 97229",97229
960990,5,3,2980,"14845 NW Minda StPortland, OR 97229",97229
512990,3,3,1406,"15109 NW Orchid StPortland, OR 97229",97229
946990,5,3,2980,"14813 NW Minda StPortland, OR 97229",97229
545990,3,3,1632,"15093 NW Rosina LnPortland, OR 97229",97229
899995,4,35,2620,"15870 NW Holman WayPortland, OR 97229",97229
1059995,4,25,2936,"16298 NW Clover LnPortland, OR 97229",97229
575000,4,2,2230,"7641 SE 109th AvePortland, OR 97266",97266
962365,4,35,2724,"16156 NW Holman WayPortland, OR 97229",97229
512990,3,3,1406,"7125 NW Bountiful TerPortland, OR 97229",97229
499990,2,25,1432,"15068 NW Ethel LnPortland, OR 97229",97229
965205,4,35,2777,"16132 NW Holman WayPortland, OR 97229",97229
939990,5,3,2980,"Bayberry Plan, Ridgeline at Bethany CommunityPortland, OR 97229",97229
704990,3,25,1739,"14988 NW Evelyn StPortland, OR 97229",97229
1052515,5,35,3473,"17359 NW Loomis LnPortland, OR 97229",97229
749995,4,25,2010,"Gleneden Plan, Toll Brothers at Hosford Farms - Terra Collection CommunityPortland, OR 97229",97229
799995,4,25,2294,"Warrenton Plan, Toll Brothers at Hosford Farms - Terra Collection CommunityPortland, OR 97229",97229
899995,4,25,3059,"Warrenton with Basement Plan, Toll Brothers at Hosford Farms - Terra Collection CommunityPortland, OR 97229",97229
884990,3,25,2901,"Andover II Plan, Abbey Woods Terrace CommunityPortland, OR 97229",97229
659990,4,25,1651,"Sage Plan, Ridgeline at Bethany CommunityPortland, OR 97229",97229
738990,4,25,2300,"Birch Plan, Ridgeline at Bethany CommunityPortland, OR 97229",97229
899990,4,25,2955,"Wellington Plan, Abbey Woods Terrace CommunityPortland, OR 97229",97229
799990,4,25,2406,"Waterville Plan, Abbey Woods Terrace CommunityPortland, OR 97229",97229
768290,2,2,1858,"Blue Ridge Plan, Durham Heights CommunityPortland, OR 97224",97224
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
744900,4,3,2228,"3936 SE Cooper StPortland, OR 97202",97202
399999,3,2,1069,"16833 NW Wapato AvePortland, OR 97231",97231
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
425000,2,2,1044,"11231 NE Fargo StPortland, OR 97220",97220
550000,3,2,1093,"7780 SW 4th AvePortland, OR 97219",97219
698000,4,25,2662,"91 SW 106th PlPortland, OR 97225",97225
499000,3,2,2710,"2713 SE 81st AvePortland, OR 97206",97206
589900,3,25,1820,"16044 SE Flavel DrPortland, OR 97236",97236
575000,2,2,1846,"1975 N Jantzen AvePortland, OR 97217",97217
539000,3,15,1706,"7305 N Knowles AvePortland, OR 97217",97217
719000,2,2,1371,"1830 NW Riverscape St Apt 107Portland, OR 97209",97209
449900,3,2,1244,"16355 SE Yamhill StPortland, OR 97233",97233
614900,5,2,2826,"3951 SE Holgate BlvdPortland, OR 97202",97202
659000,4,25,2166,"9635 SW Pihas StPortland, OR 97223",97223
650000,3,15,1967,"1016 N Mason StPortland, OR 97217",97217
430000,2,1,1244,"3666 SE Holgate BlvdPortland, OR 97202",97202
825000,5,3,4016,"3340 SW 70th AvePortland, OR 97225",97225
424900,2,1,8688,"7115 N Delaware AvePortland, OR 97217",97217
539000,3,2,2020,"2261 NE 134th PlPortland, OR 97230",97230
1200000,5,35,3287,"3730 SW Grover StPortland, OR 97221",97221
650000,3,3,2326,"630 SE 33rd AvePortland, OR 97214",97214
749900,5,25,2444,"5684 NW Skycrest PkwyPortland, OR 97229",97229
785000,4,25,2836,"541 NE Tillamook StPortland, OR 97212",97212
554900,4,25,1933,"3862 NE 150th AvePortland, OR 97230",97230
545990,3,3,1632,"Bondi Plan, Bethany Crossing Townhomes CommunityPortland, OR 97229",97229
819995,4,25,2425,"Orford Plan, Toll Brothers at Hosford Farms - Terra Collection CommunityPortland, OR 97229",97229
435000,3,2,1040,"5015 SW Buddington StPortland, OR 97219",97219
299000,1,1,8588,"245 N Hayden Bay DrPortland, OR 97217",97217
900000,3,25,2176,"9130 SW 7th AvePortland, OR 97219",97219
676500,4,2,2646,"4224 SE 33rd PlPortland, OR 97202",97202
590000,4,25,1821,"8332 N Fox StPortland, OR 97203",97203
